GEO_ID,NAME,TOTAL,HISPANIC_OR_LATINO
12001,"Alachua County, Florida",278468,33614
12003,"Baker County, Florida",28259,973
12005,"Bay County, Florida",175216,13846
12007,"Bradford County, Florida",28303,1350
12009,"Brevard County, Florida",606612,67907
12011,"Broward County, Florida",1944375,608703
12013,"Calhoun County, Florida",13648,622
12015,"Charlotte County, Florida",186847,14079
12017,"Citrus County, Florida",153843,9241
12019,"Clay County, Florida",218245,23134
12021,"Collier County, Florida",375752,102249
12023,"Columbia County, Florida",69698,5063
12027,"DeSoto County, Florida",33976,10011
12029,"Dixie County, Florida",16759,688
12031,"Duval County, Florida",995567,112689
12033,"Escambia County, Florida",321905,20793
12035,"Flagler County, Florida",115378,12299
12037,"Franklin County, Florida",12451,675
12039,"Gadsden County, Florida",43826,5093
12041,"Gilchrist County, Florida",17864,1348
12043,"Glades County, Florida",12126,3050
12045,"Gulf County, Florida",14192,555
12047,"Hamilton County, Florida",14004,1455
12049,"Hardee County, Florida",25327,10604
12051,"Hendry County, Florida",39619,22112
12053,"Hernando County, Florida",194515,29045
12055,"Highlands County, Florida",101235,20943
12057,"Hillsborough County, Florida",1459762,427381
12059,"Holmes County, Florida",19653,688
12061,"Indian River County, Florida",159788,20832
12063,"Jackson County, Florida",47319,2215
12065,"Jefferson County, Florida",14510,658
12067,"Lafayette County, Florida",8226,938
12069,"Lake County, Florida",383956,65375
12071,"Lee County, Florida",760822,173161
12073,"Leon County, Florida",292198,22914
12075,"Levy County, Florida",42915,4080
12077,"Liberty County, Florida",7974,562
12079,"Madison County, Florida",17968,881
12081,"Manatee County, Florida",399710,70979
12083,"Marion County, Florida",375908,55910
12085,"Martin County, Florida",158431,24187
12086,"Miami-Dade County, Florida",2701767,1856938
12087,"Monroe County, Florida",82874,19432
12089,"Nassau County, Florida",90352,4449
12091,"Okaloosa County, Florida",211668,22578
12093,"Okeechobee County, Florida",39644,9857
12095,"Orange County, Florida",1429908,473025
12097,"Osceola County, Florida",388656,211089
12099,"Palm Beach County, Florida",1492191,349933
12101,"Pasco County, Florida",561891,93157
12103,"Pinellas County, Florida",959107,102439
12105,"Polk County, Florida",725046,187695
12107,"Putnam County, Florida",73321,7816
12109,"St. Johns County, Florida",273425,22607
12111,"St. Lucie County, Florida",329226,66320
12113,"Santa Rosa County, Florida",188000,11890
12115,"Sarasota County, Florida",434006,43236
12117,"Seminole County, Florida",470856,106539
12119,"Sumter County, Florida",129752,7583
12121,"Suwannee County, Florida",43474,4785
12123,"Taylor County, Florida",21796,866
12125,"Union County, Florida",16147,764
12127,"Volusia County, Florida",553543,82652
12129,"Wakulla County, Florida",33764,1577
12131,"Walton County, Florida",75305,6187
12133,"Washington County, Florida",25318,924
